,item_id,Wrong_S,Right_S,category,Wrong_W,Right_W,loc,difficulty,reason
0,1,"""일을 하던지 말던지 마음을 정해야지."""," ""일을 하든지 말든지 마음을 정해야지.""",0," ""하던지 말던지"""," ""하든지 말든지"""," ""일을 [하든지 말든지] 마음을 정해야지.""",3," '-던'은 과거에 일어난 일을 회상하여 말할 때 쓰는 어미입니다. 따라서 ""하던지 말던지""는 문법적으로 맞지 않습니다."
1,2,"""방을 깨끗히 유지하는 것이 중요하다."""," ""방을 깨끗이 유지하는 것이 중요하다.""",0," ""깨끗히"""," ""깨끗이"""," ""방을 [깨끗이] 유지하는 것이 중요하다.""",1,뒤에 -하다가 붙을 수 있는 어근 가운데 끝 음절이 'ㅅ' 받침으로 끝나는 경우엔 -이로 적습니다.
2,3,"""부끄러움을 무릎쓰다.""","""부끄러움을 무릅쓰다.""",0," ""무릎쓰고"""," ""무릅쓰고""","""부끄러움을 [무릅쓰다].""",4," 무릎은 넓적다리와 정강이를 잇는 부분을 말하는데, 이 무릎을 쓸 때는 무릅이 아니라 무릎이 맞습니다. 그러나 '실례를 무릅쓰고', '실례를 무릅쓰다' 라고 할 때는 '무릅쓰다'가 맞습니다."
3,4,"""단언컨데 이 방법이 가장 효과적이다."""," ""단언컨대 이 방법이 가장 효과적이다.""",0," ""단언컨데"""," ""단언컨대"""," ""[단언컨대] 이 방법이 가장 효과적이다.""",2, '단언하건대'가 줄어든 말은 '단언컨대'입니다.
4,5,"""감기에 걸리면 눈꼽이 자주 생겨."""," ""감기에 걸리면 눈곱이 자주 생겨.""",0," ""눈꼽"""," ""눈곱"""," ""감기에 걸리면 [눈곱]이 자주 생겨.""",5," '눈곱'은 ‘눈’과 ‘곱’이 결합한 말로, 여기서 ‘곱’은 부스럼이나 헌데에 끼는 고름 모양의 물질을 가리킨다. 따라서 소리가 비슷한 다른 단어와 혼동하지 않도록 주의해야 한다."
5,6,"""이거 정말 식욕을 돋구네."""," ""이거 정말 식욕을 돋우네.""",0," ""돋구네"""," ""돋우네"""," ""이거 정말 식욕을 [돋우네].""",1," ‘돋구다’는 안경의 도수 따위를 더 높게 하다라는 뜻이고, ‘돋우다’는 위로 끌어 올려 도드라지거나 높아지게 하다는 뜻이다."
6,7,"""두 회사의 성과 차이는 전략적 판단의 차이에 기여한다."""," ""두 회사의 성과 차이는 전략적 판단의 차이에 기인한다.""",1," ""기여한다"""," ""기인한다"""," ""두 회사의 성과 차이는 전략적 판단의 차이에 [기인한다].""",4," 기여하다는 어떤 것에 도움이 되다라는 뜻이고, 기인하다는 원인이나 이유가 되다라는 뜻이다."
7,8,"""열쇠를 문고리에 잘못 꼽으면 열리지 않는다."""," ""열쇠를 문고리에 잘못 꽂으면 열리지 않는다.""",1," ""꼽으면"""," ""꽂으면"""," ""열쇠를 문고리에 잘못 [꽂으면] 열리지 않는다.""",2," ‘꼽다’는 수를 세려고 손가락을 하나씩 구부리다라는 뜻이고, ‘꽂다’는 쓰러지거나 빠지지 아니하게 박아 세우거나 끼우다 또는 내던져서 거꾸로 박히게 하다라는 뜻이다."
8,9,"""이번에 새로 나온 영화는 말장난같은 요소를 많이 포함하고 있다."""," ""이번에 새로 나온 영화는 말장난 같은 요소를 많이 포함하고 있다.""",2," ""말장난같은"""," ""말장난 같은"""," ""이번에 새로 나온 영화는 [말장난 같은] 요소를 많이 포함하고 있다.""",3," '말장난'은 명사이고, '같은'은 형용사이다. 따라서 두 단어는 띄어 써야 한다."
9,10,"""이 결정을 나중에 후회할 걸."""," ""이 결정을 나중에 후회할걸.""",2," ""후회할 걸"""," ""후회할걸"""," ""이 결정을 나중에 [후회할걸].""",2,후회할걸은 어간 '후회하-'에 어미 '-ㄹ걸'이 결합한 말이므로 붙여 써야 합니다. 
